Name,Lat,Lon
N10-1,20.944215,105.741185
N10-17-1,20.943566,105.740287
N10-31-1,20.942966,105.739354
N11-1,20.9443,105.741182
N11-14-1,20.943709,105.740366
N11-19-1,20.943414,105.739936
N11-26-1,20.943149,105.739528
N11-31-1,20.942959,105.739214
N11-39-1,20.942729,105.738825
N11-46,20.942452,105.738353
N11-46-1,20.942402,105.738398
N11-5,20.944108,105.740922
N1-17,20.94143,105.739195
N11-9,20.943922,105.740677
N12-13-1,20.944771,105.741803
N12-20-1,20.945097,105.742248
N12-28,20.945413,105.742673
N12-35-1,20.945755,105.74313
N12-45,20.94614,105.743636
N1-26-1,20.940796,105.739615
N12-7,20.944541,105.741499
N13-18-1,20.944967,105.742193
N13-25-1,20.945205,105.742516
N13-34,20.945604,105.743038
N13-48,20.946082,105.743685
N13-7-1,20.944477,105.741523
N14-1,20.943184,105.738393
N1-4-1,20.94222,105.738578
N15-1,20.943566,105.738538
N16-1,20.943688,105.739174
N17-1,20.943669,105.739552
N17-13-1,20.943606,105.739782
N17-18,20.943547,105.739823
N1-8,20.941872,105.73885
N18-1,20.943716,105.739957
N19-1,20.944298,105.739759
N19-10,20.944001,105.74008
N20-1,20.945893,105.739525
N20-33,20.944551,105.739482
N2-1,20.942347,105.739629
N21-1,20.944929,105.740642
N21-10,20.944844,105.740338
N21-11-1,20.944798,105.740266
N21-15-1,20.944762,105.740203
N21-19,20.944626,105.74004
N21-24,20.944499,105.739916
N21-5-1,20.944921,105.740558
N22-1,20.944747,105.740735
N23-1,20.944368,105.740617
N24-1,20.945033,105.740073
N25-1,20.945081,105.740502
N26-6,20.945164,105.740816
N27-15,20.945706,105.740708
N27-30,20.945266,105.740785
N28-1,20.945518,105.741318
N29-1,20.945574,105.74184
N30-1,20.946282,105.742853
N30-5,20.94599,105.742981
N3-1,20.943068,105.740545
N31-1,20.94606,105.739581
N31-15-1,20.946239,105.740395
N31-17-1,20.946291,105.74061
N31-22-1,20.946316,105.740796
N31-32-1,20.946349,105.741312
N31-48,20.946315,105.742339
N32-1,20.94707,105.741288
N33-1,20.947003,105.740763
N34-1,20.946663,105.740422
N34-11-1,20.946449,105.740371
N35-1,20.946441,105.739971
N36-1,20.947336,105.742931
N36-12,20.948445,105.742798
N36-16-1,20.948808,105.742801
N36-20-1,20.949007,105.742806
N36-29,20.950054,105.742853
N36-38-1,20.950725,105.742885
N36-6,20.947718,105.742848
N37-12,20.94912,105.742305
N38-11,20.949249,105.740308
N38-1-1,20.949671,105.740268
N38-18,20.948884,105.740329
N38-29,20.948698,105.740638
N38-31,20.948675,105.740752
N38-43,20.948821,105.7412
N38-49,20.949132,105.741339
N39-1,20.950061,105.740408
N39-12,20.949699,105.740277
N39-7,20.949868,105.74036
N40-1,20.949632,105.739479
N4-1,20.943758,105.741737
N41-1,20.949658,105.73948
N42-14,20.949917,105.740938
N42-26-1,20.949531,105.741566
N43-14,20.949872,105.74106
N43-27-1,20.949545,105.741702
N43-4,20.950074,105.74054
N44-1,20.94995,105.741875
N45-1,20.950468,105.740676
N46-1,20.951694,105.739535
N46-15,20.950768,105.739984
N46-7,20.951358,105.739682
N47-10,20.951471,105.741843
N48-1,20.952613,105.740604
N48-10-1,20.952146,105.741098
N48-11,20.952062,105.741187
N48-12-1,20.952008,105.741245
N48-4,20.952414,105.740813
N49-1,20.953199,105.74138
N49-18,20.952274,105.741547
N49-9-1,20.952751,105.741701
N50-10,20.952463,105.741401
N5-1,20.944541,105.742662
N51-1,20.953242,105.741348
N5-11,20.944711,105.742369
N51-9,20.952962,105.741016
N52-11,20.952222,105.740166
N5-3,20.944454,105.742522
N54-10-1,20.953315,105.738225
N54-13-1,20.953223,105.738418
N54-25-1,20.952762,105.738865
N54-27-1,20.952652,105.738938
N54-38,20.952159,105.739245
N54-4,20.953506,105.737994
N55-1,20.953012,105.739175
N56-1,20.95251,105.738697
N57-1,20.953545,105.738915
N58-1,20.952914,105.738185
N59-1,20.953674,105.737504
N59-12,20.953764,105.738087
N59-21-1,20.953991,105.738578
N59-28,20.954109,105.738881
N59-31,20.954204,105.739057
N59-39,20.954367,105.739466
N59-43-1,20.954477,105.739789
N59-47-1,20.954568,105.740061
N59-5-1,20.953679,105.737793
N59-8,20.953656,105.737927
N60-1,20.954253,105.737649
N60-4,20.954058,105.737726
N61-1,20.954556,105.738411
N6-16-1,20.944696,105.74289
N62-1,20.954021,105.740072
N6-29,20.944078,105.743088
N63-1,20.954355,105.74024
N64-1,20.954686,105.740365
N64-22,20.954868,105.739148
N64-30,20.954968,105.738777
N65-1,20.954705,105.740334
N65-32,20.955032,105.738732
N66-1,20.955342,105.738335
N66-3-1,20.95535,105.738353
N66-6,20.955483,105.73865
N66-8-1,20.955624,105.738965
N67-1,20.954982,105.739404
N68-8,20.946715,105.743234
N6-9,20.944907,105.742733
N7-1,20.945164,105.743665
N8-21,20.94494,105.743914
N8-49-1,20.943466,105.743336
N8-67,20.942418,105.742502
N8-82,20.941719,105.741468
N8-96,20.941049,105.74017
N8-98-1,20.94093,105.73993
N1-30,20.940619,105.739696
N36-45,20.951526,105.742826
N66-12,20.955746,105.739237
N9-4,20.940768,105.740046
